bp_rp,g_rp,bp_g,g_abs_mag,teff_val,j_h,h_k,b_v,label
3.583311,1.3907213,2.1925898,-10.745486132865976,3772.4624,1.3100004196166992,0.5289993286132812,0.0,1
3.5462847,1.3789387,2.1673459999999998,0.6588649072601918,3666.0,1.0539999008178709,0.4720001220703125,0.0,1
3.5249667000000002,1.0572915,2.4676752,-2.4453296926080235,3451.0,1.010000228881836,0.8899998664855957,2.0500001907348637,1
3.5239849999999997,1.3572053999999998,2.1667794999999996,-0.06298282134175183,3319.5,1.0420002937316897,0.4699997901916504,0.0,1
3.5157156,1.3623381,2.1533775,-1.3896671510944287,3586.0798,1.0959997177124023,0.4759998321533203,0.0,1
3.4883614,1.3095608,2.1788006,0.09798123491626144,3295.25,1.204999923706055,0.5240001678466797,-1.8999996185302732,1
3.4410877,1.3856973999999997,2.0553904,-0.755366401213653,4065.0,1.1419997215270996,0.4200000762939453,-2.7100000381469727,1
3.4273767,1.337409,2.0899677,-0.16826152467711353,3306.0,1.0629997253417969,0.3980002403259277,0.8499994277954102,1
3.4138985,1.4516125,1.962286,2.7832548089078126,3754.74,1.4159998893737793,1.9809999465942385,3.390000343322754,1
3.3735322999999995,1.4385643,1.934968,-2.102567556458194,3655.3,1.197000503540039,0.5999994277954102,0.0,1
3.3615475,1.3476725,2.013875,1.9958839574958347,4297.63,1.1510000228881836,0.4689998626708984,0.0,1
3.294036,1.3426027,1.9514331999999999,-3.278889404317926,4456.245,1.0789995193481443,0.3920001983642578,0.0,1
3.289423,1.370945,1.918478,-0.3845366536775536,3338.0,0.0,0.0,0.0,1
3.2557840000000002,1.4510908000000002,1.8046932,-1.922452465054775,3894.0352,1.1900005340576172,0.5260000228881836,0.0,1
3.2499208,1.2902489,1.959672,-0.5557173816112879,3305.6667,0.9750003814697266,0.4029998779296875,0.0,1
3.2403402000000003,1.4243774,1.8159628,-1.8467145568710064,3920.6797,2.0380001068115234,1.364999771118164,0.0,1
3.2381029999999997,1.3666753999999999,1.8714275000000002,-1.274548193384085,4040.9636,1.016000270843506,0.3639998435974121,-1.6000003814697266,1
3.2114906000000003,1.3065871999999998,1.9049034,-1.2026757560509085,4058.3076,0.0,0.0,1.8699998855590818,1
3.1822996,1.29601,1.8862896,-0.2852902814269456,4065.0,1.2540006637573242,0.3919997215270996,0.0,1
3.177103,1.4339752000000001,1.7431278000000001,-0.5701487684616424,3862.0203,1.6449995040893557,0.8880000114440918,-0.010000228881835938,1
3.0812235,1.3148575,1.7663659999999999,0.08349336031124466,4220.7427,0.9329996109008788,0.430999755859375,0.0,1
3.0703478,1.3352985000000002,1.7350491999999997,-2.4866885578932525,3762.1501,1.0539999008178709,0.5150003433227539,-2.444000244140625,1
3.0641602999999997,1.3599529,1.7042074,-5.878016754822787,4431.6753,1.059000015258789,0.5049996376037598,0.0,1
3.0287352000000003,1.3029423,1.7257929,-1.2595606562796746,4011.2275,0.9499998092651368,0.3979997634887695,0.0,1
3.0172548,1.274931,1.7423238999999997,-1.8973583118087343,3533.2349,0.9270000457763672,0.4010000228881836,1.770000457763672,1
3.0158357999999996,1.32195,1.6938858,-1.3209794048428023,4070.3447,1.1319994926452637,0.4970002174377442,-0.5299997329711914,1
2.9613266,1.2919129999999999,1.6694136000000002,-2.4183412523424934,4142.8066,1.0009999275207522,0.3540000915527344,2.0700006484985347,1
2.8986282,1.3289633,1.5696649999999999,-1.220341676862656,4577.48,0.9320001602172852,0.36100006103515625,0.0,1
2.85983,1.3659925,1.4938373999999999,-1.3346860783809051,3771.015,1.2239999771118164,0.6760005950927734,0.0,1
2.8117504,1.3310298999999999,1.4807204999999999,-0.08310029081224712,4618.94,1.064000129699707,0.5089998245239258,0.0,1
2.807334,1.2403412,1.5669928,-3.3392942956617166,3774.67,0.993000030517578,0.3280000686645508,0.5,1
2.7938242,1.2680159,1.5258083,-1.7236869960094054,4336.298,1.1500005722045898,0.5900001525878906,0.0,1
